EADARP version ecec-dirty
ARGS: --ifile=EADARP/instances/random/r8-96-00000.txt  --gamma=0.7 --only_single_s_visits=false --odir=EADARP/solutions/random/r8-96-00000 --oname=run74
Settings:
--alns_gamma=0.025
--alns_segment_size=100
--alns_sigma1=10
--alns_sigma2=9
--alns_sigma3=3
--at_most_one_s=false
--gamma=0.7
--ifile=EADARP/instances/random/r8-96-00000.txt
--infeasible_arcs=EADARP/infeasible_arcs
--insert_charging_otf=true
--insert_cost_noise=0.014
--lns_init_temp_factor=0.0
--lns_temp_dec_factor=0.99
--log_all_sols_fname=
--mh_checkit=false
--mh_lfreq=0
--mh_lnewinc=true
--mh_tciter=-1
--mh_tctime=-1.0
--mh_titer=30000
--mh_tobj=-1.0
--mh_ttime=-1.0
--odir=EADARP/solutions/random/r8-96-00000
--ofile=
--oname=run74
--only_single_s_visits=false
--prepthreshold=0.1
--repair_max_routes=0
--route_based_ops=0
--seed=2084876177
--tightened_windows=EADARP/tightened_windows
--use_milp_in_otf=0
--xcheck_isfeasible=false

EADARPInstance(EADARP/instances/random/r8-96-00000.txt, n=96, n_K=8, S=[209, 210, 211], Q=14.85, n_F=8, γ=0.7, T_plan=720.0, F=[201, 202, 203, 204, 205, 206, 207, 208])

Percentage of arcs removed: 74.09537072392803%
Minimum Degree: 10
T preprocessing time [s]: 21.031
I       iter             best          obj_old          obj_new        time              method info
I      30000       1013.20937       1013.20937       1034.39847     77.0690        drrr_15+rrri 

Method statistics
S  method    iter  succ  succ-rate%  tot-obj-gain  avg-obj-gain  rel-succ%  net-time  net-time%  brut-time  brut-time%
S  con          1     1   100.00000  -98904.93239  -98904.93239    0.48780   1.15500    1.49866    1.15500     1.49866
S  drrr_15  29999   102     0.34001    -177.85823      -0.00593   49.75610   2.20000    2.85458    2.20000     2.85458
S  rrg      10008    34     0.33973     -59.37104      -0.00593   16.58537  33.84901   43.92040   33.84901    43.92040
S  rroi      9961    34     0.34133     -50.22406      -0.00504   16.58537  18.89100   24.51181   18.89100    24.51181
S  rrri     10030    34     0.33898     -68.26313      -0.00681   16.58537  20.25499   26.28163   20.25499    26.28163
S  SUM/AVG  59999   205     0.34167  -99260.64886      -1.65437   20.00000  76.35000   99.06707   76.35000    99.06707

T best solution: EADARPSolution(t_routing=1233.35, t_excess=352.786, obj_val=1013.209, obj_val_valid=true,
    unserved_requests=Int64[], F_visited=[201, 205, 204, 203, 208, 206, 207, 202], S_visited=Int64[],
    (1, ([193, 37, 49, 133, 145, 8, 14, 88, 104, 110, 184, 5, 101, 32, 128, 211, 18, 114, 94, 190, 201], [64.61402672647448], [16]))
    (2, ([194, 210, 51, 147, 41, 17, 113, 137, 21, 117, 52, 76, 172, 148, 90, 25, 186, 121, 26, 80, 122, 176, 24, 120, 62, 3, 158, 99, 89, 185, 11, 10, 107, 45, 106, 141, 209, 202], [4.524813164299519, 146.82336690553439], [2, 37]))
    (3, ([195, 67, 163, 82, 178, 63, 159, 23, 59, 56, 119, 155, 152, 68, 164, 69, 44, 140, 165, 34, 130, 86, 36, 182, 132, 209, 203], [76.83588883185288], [26]))
    (4, ([196, 71, 73, 167, 60, 70, 169, 156, 166, 65, 161, 15, 111, 2, 98, 29, 125, 96, 192, 79, 175, 57, 153, 209, 204], [72.61872246309402], [24]))
    (5, ([197, 81, 177, 92, 95, 39, 191, 188, 135, 47, 143, 20, 84, 180, 116, 64, 74, 46, 160, 142, 170, 4, 100, 28, 124, 16, 112, 209, 205], [37.75843203628662], [28]))
    (6, ([198, 35, 42, 131, 138, 83, 40, 179, 136, 30, 126, 50, 146, 12, 108, 54, 150, 209, 206], [44.222221269003676], [18]))
    (7, ([199, 6, 102, 66, 162, 75, 171, 53, 149, 72, 77, 168, 173, 27, 91, 123, 187, 31, 127, 209, 207], [26.667941718592722], [20]))
    (8, ([200, 87, 183, 1, 97, 78, 174, 33, 129, 9, 43, 139, 105, 19, 115, 93, 189, 85, 181, 55, 48, 151, 58, 144, 154, 61, 7, 103, 157, 13, 109, 38, 134, 22, 118, 209, 208], [111.28497979137128], [36])))

T best obj: 1013.2093731130168
T best iteration: 6921
T total iterations: 30000
T best time [s]: 27.736
T total time [s]: 77.0690
